;Data;Precipitacao;estacao;chirps;persiann
0;01/01/2017;0;A009;0;2.911831379
1;02/01/2017;0;A009;2.714164734;4.86631012
2;03/01/2017;0;A009;5.428329468;9.214043617
3;04/01/2017;15;A009;2.714164734;8.892291069
4;05/01/2017;0.8;A009;2.714164734;3.098712921
5;06/01/2017;4;A009;2.089298248;3.737117767
6;07/01/2017;0;A009;2.089298248;3.755729675
7;08/01/2017;0.2;A009;0;2.608181
8;09/01/2017;0;A009;4.178596497;6.58954525
9;10/01/2017;2.6;A009;0;2.200764179
10;11/01/2017;0.2;A009;23.05072594;20.04194641
11;12/01/2017;9.4;A009;0;0
12;13/01/2017;0;A009;11.52536297;9.894770622
13;14/01/2017;4.6;A009;11.52536297;16.70714569
14;15/01/2017;0;A009;5.762681484;3.801621914
15;16/01/2017;1.2;A009;33.37973404;20.7430706
16;17/01/2017;0;A009;13.35189342;15.13484383
17;18/01/2017;116.4;A009;13.35189342;18.63128471
18;19/01/2017;29.4;A009;0;1.052450657
19;20/01/2017;0;A009;20.02783966;19.97361946
20;21/01/2017;43.4;A009;11.61204338;4.034103394
21;22/01/2017;58.6;A009;17.41806412;7.537210464
22;23/01/2017;0;A009;17.41806412;20.03914261
23;24/01/2017;5.8;A009;23.22408676;18.02016068
24;25/01/2017;7.4;A009;11.61204338;6.408272743
25;26/01/2017;0;A009;4.452169895;8.767873764
26;27/01/2017;29.2;A009;2.226084948;10.00848007
27;28/01/2017;13.6;A009;2.226084948;2.298921585
28;29/01/2017;19.8;A009;4.452169895;12.71660328
29;30/01/2017;37.8;A009;0;0.727894127
30;31/01/2017;0;A009;0;6.735888481
31;01/02/2017;6.4;A009;15.9749403;9.265079498
32;02/02/2017;18.4;A009;15.9749403;17.56009674
33;03/02/2017;6;A009;0;0.448363155
34;04/02/2017;0;A009;10.64995956;15.14716244
35;05/02/2017;58;A009;5.324979782;13.87302303
36;06/02/2017;1.8;A009;7.211571217;11.38854408
37;07/02/2017;26.6;A009;21.63471413;14.45255756
38;08/02/2017;54.4;A009;14.42314243;8.231519699
39;09/02/2017;1.8;A009;0;1.372516036
40;10/02/2017;0.4;A009;14.42314243;9.976676941
41;11/02/2017;7.6;A009;9.925052643;8.308730125
42;12/02/2017;16.8;A009;9.925052643;12.19553757
43;13/02/2017;7.8;A009;29.77515793;18.42641449
44;14/02/2017;15.6;A009;9.925052643;5.388406754
45;15/02/2017;2.4;A009;49.6252594;14.68776894
46;16/02/2017;0.2;A009;0;0.709808946
47;17/02/2017;0;A009;3.046075344;11.2269659
48;18/02/2017;0.4;A009;15.2303772;33.74141693
49;19/02/2017;0.2;A009;6.092150688;17.24767303
50;20/02/2017;3.4;A009;9.138225555;19.45848465
51;21/02/2017;6;A009;11.01662254;10.67962933
52;22/02/2017;10.6;A009;5.508311272;3.073851585
53;23/02/2017;0.2;A009;11.01662254;14.64066696
54;24/02/2017;23;A009;16.52493477;10.35110855
55;25/02/2017;8.4;A009;11.01662254;14.55540657
56;26/02/2017;0.2;A009;11.57083321;10.99294662
57;27/02/2017;0;A009;0;1.691497803
58;28/02/2017;0;A009;8.678125381;11.14409065
59;01/03/2017;0;A009;0;2.521272182
60;02/03/2017;0;A009;10.87044811;14.52256012
61;03/03/2017;7.4;A009;0;0
62;04/03/2017;7.6;A009;10.87044811;10.03000832
63;05/03/2017;0;A009;0;0.835114121
64;06/03/2017;9;A009;0;2.089000225
65;07/03/2017;1.4;A009;0;5.66219759
66;08/03/2017;0;A009;0;3.337756157
67;09/03/2017;11.2;A009;16.05253029;15.26020432
68;10/03/2017;14.8;A009;0;0
69;11/03/2017;0;A009;0;0
70;12/03/2017;0;A009;4.915863991;8.776662827
71;13/03/2017;6;A009;9.831727982;8.539331436
72;14/03/2017;0.2;A009;4.915863991;5.194555283
73;15/03/2017;9.4;A009;9.831727982;14.26470852
74;16/03/2017;8;A009;13.73373795;15.71542549
75;17/03/2017;3.8;A009;13.73373795;8.266901016
76;18/03/2017;3.8;A009;0;2.870384216
77;19/03/2017;4.4;A009;0;0.635043144
78;20/03/2017;0;A009;13.73373795;13.61265564
79;21/03/2017;2;A009;5.5590415;13.09857368
